Age,workclass,fnlwgt,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,class
28,2.0,377869,10,2.0,11.0,5.0,4.0,0.0,4064,0,25,38.0,0.0
36,2.0,102864,9,4.0,6.0,3.0,4.0,0.0,0,0,40,38.0,0.0
53,2.0,95647,5,2.0,5.0,0.0,4.0,1.0,0,0,50,38.0,0.0
56,3.0,303090,10,2.0,11.0,0.0,4.0,1.0,0,0,50,38.0,0.0
49,1.0,197371,11,2.0,2.0,0.0,2.0,1.0,0,0,40,38.0,1.0
55,2.0,247552,10,2.0,11.0,0.0,4.0,1.0,0,0,56,38.0,0.0
22,2.0,102632,9,4.0,2.0,1.0,4.0,1.0,0,0,41,38.0,0.0
21,2.0,199915,10,4.0,7.0,3.0,4.0,0.0,0,0,40,38.0,0.0
40,2.0,118853,13,2.0,3.0,0.0,4.0,1.0,0,0,60,38.0,0.0
30,2.0,77143,13,4.0,3.0,3.0,2.0,1.0,0,0,40,10.0,0.0
29,5.0,267989,13,2.0,9.0,0.0,4.0,1.0,0,0,50,38.0,1.0
19,2.0,301606,10,4.0,7.0,3.0,2.0,1.0,0,0,35,38.0,0.0
47,2.0,287828,13,2.0,3.0,5.0,4.0,0.0,0,0,40,38.0,1.0
20,2.0,111697,10,4.0,0.0,3.0,4.0,0.0,0,1719,28,38.0,0.0
31,2.0,114937,12,2.0,0.0,0.0,4.0,1.0,0,0,40,38.0,1.0
39,2.0,365739,10,0.0,2.0,1.0,4.0,1.0,0,0,40,38.0,0.0
28,2.0,69621,12,4.0,11.0,1.0,4.0,0.0,0,0,60,38.0,0.0
24,2.0,43323,9,4.0,7.0,1.0,4.0,0.0,0,1762,40,38.0,0.0
38,4.0,120985,9,2.0,2.0,0.0,4.0,1.0,4386,0,35,38.0,0.0
37,2.0,254202,13,2.0,11.0,0.0,4.0,1.0,0,0,50,38.0,0.0
46,2.0,146195,12,0.0,12.0,1.0,2.0,0.0,0,0,36,38.0,0.0
38,0.0,125933,14,2.0,9.0,0.0,4.0,1.0,0,0,40,19.0,1.0
43,4.0,56920,9,2.0,2.0,0.0,4.0,1.0,0,0,60,38.0,0.0
27,2.0,163127,11,2.0,0.0,5.0,4.0,0.0,0,0,35,38.0,0.0
20,2.0,34310,10,4.0,11.0,3.0,4.0,1.0,0,0,20,38.0,0.0
49,2.0,81973,10,2.0,2.0,0.0,1.0,1.0,0,0,40,38.0,1.0
61,3.0,66614,9,2.0,2.0,0.0,4.0,1.0,0,0,40,38.0,0.0
27,2.0,232782,10,4.0,11.0,3.0,4.0,0.0,0,0,40,38.0,0.0
19,2.0,316868,10,4.0,7.0,3.0,4.0,1.0,0,0,30,25.0,0.0
45,2.0,196584,11,4.0,9.0,1.0,4.0,0.0,0,1564,40,38.0,1.0
70,2.0,105376,10,4.0,12.0,2.0,4.0,1.0,0,0,40,38.0,0.0
31,2.0,185814,9,4.0,13.0,4.0,2.0,0.0,0,0,30,38.0,0.0
22,2.0,175374,10,2.0,7.0,0.0,4.0,1.0,0,0,24,38.0,0.0
36,2.0,108293,9,6.0,7.0,4.0,4.0,0.0,0,0,24,38.0,0.0
64,2.0,181232,7,2.0,2.0,0.0,4.0,1.0,0,2179,40,38.0,0.0
47,1.0,186009,10,0.0,0.0,4.0,4.0,0.0,0,0,38,25.0,0.0
34,2.0,198183,9,4.0,0.0,1.0,4.0,0.0,0,0,40,38.0,0.0
33,2.0,163003,13,4.0,3.0,2.0,1.0,0.0,0,0,40,29.0,0.0
21,2.0,296158,9,4.0,2.0,3.0,4.0,1.0,0,0,35,38.0,0.0
48,2.0,187715,9,2.0,2.0,0.0,4.0,1.0,0,0,46,38.0,0.0
23,2.0,214542,13,4.0,5.0,1.0,4.0,1.0,0,0,40,38.0,0.0
71,4.0,494223,10,5.0,11.0,4.0,2.0,1.0,0,1816,2,38.0,0.0
29,2.0,191535,9,0.0,2.0,1.0,4.0,1.0,0,0,60,38.0,0.0
42,2.0,228456,13,5.0,7.0,2.0,2.0,1.0,0,0,50,38.0,0.0
25,2.0,252752,9,4.0,7.0,4.0,4.0,0.0,0,0,40,38.0,0.0
44,3.0,78374,14,0.0,3.0,4.0,1.0,0.0,0,0,40,38.0,0.0
28,2.0,88419,9,4.0,3.0,1.0,1.0,0.0,0,0,40,8.0,0.0
45,4.0,201080,14,2.0,11.0,0.0,4.0,1.0,0,0,40,38.0,1.0
36,2.0,207157,10,0.0,7.0,4.0,4.0,0.0,0,0,40,25.0,0.0
39,0.0,235485,12,4.0,3.0,1.0,4.0,1.0,0,0,42,38.0,0.0
46,5.0,102628,14,6.0,10.0,4.0,4.0,1.0,0,0,40,38.0,0.0
18,2.0,25828,7,4.0,5.0,3.0,4.0,1.0,0,0,16,38.0,0.0
66,1.0,54826,11,6.0,9.0,1.0,4.0,0.0,0,0,20,38.0,0.0
27,2.0,124953,9,4.0,7.0,1.0,4.0,1.0,0,1980,40,38.0,0.0
28,5.0,175325,9,2.0,10.0,0.0,4.0,1.0,0,0,40,38.0,0.0
51,2.0,96062,10,2.0,11.0,0.0,4.0,1.0,0,1977,40,38.0,1.0
27,2.0,428030,13,4.0,2.0,1.0,4.0,1.0,0,0,50,38.0,0.0
28,5.0,149624,13,2.0,9.0,0.0,4.0,1.0,0,0,40,38.0,1.0
27,2.0,253814,9,3.0,11.0,4.0,4.0,0.0,0,0,25,38.0,0.0
21,2.0,312956,9,4.0,2.0,3.0,2.0,1.0,0,0,40,38.0,0.0
34,2.0,483777,9,4.0,5.0,1.0,2.0,1.0,0,0,40,38.0,0.0
18,2.0,183930,9,4.0,7.0,3.0,4.0,1.0,0,0,12,38.0,0.0
33,2.0,37274,13,2.0,9.0,0.0,4.0,1.0,0,0,65,38.0,0.0
44,1.0,181344,10,2.0,3.0,0.0,2.0,1.0,0,0,38,38.0,1.0
43,2.0,114580,10,0.0,0.0,1.0,4.0,0.0,0,0,40,38.0,0.0
30,2.0,633742,10,4.0,2.0,1.0,2.0,1.0,0,0,45,38.0,0.0
40,2.0,286370,4,2.0,6.0,0.0,4.0,1.0,0,0,40,25.0,1.0
37,0.0,29054,10,2.0,0.0,0.0,4.0,1.0,0,0,42,38.0,1.0
34,2.0,304030,9,2.0,0.0,0.0,2.0,1.0,0,0,40,38.0,0.0
41,4.0,143129,13,0.0,3.0,1.0,4.0,0.0,0,0,40,38.0,0.0
31,2.0,99928,14,2.0,9.0,5.0,4.0,0.0,0,0,50,38.0,0.0
58,5.0,109567,16,2.0,9.0,0.0,4.0,1.0,0,0,1,38.0,1.0
38,2.0,155222,10,0.0,6.0,1.0,2.0,0.0,0,0,28,38.0,0.0
24,2.0,159567,10,2.0,6.0,0.0,4.0,1.0,0,0,40,38.0,0.0
41,1.0,523910,13,2.0,2.0,0.0,2.0,1.0,0,0,40,38.0,0.0
47,2.0,120939,10,2.0,12.0,0.0,4.0,1.0,0,0,45,38.0,0.0
41,0.0,130760,13,2.0,12.0,0.0,4.0,1.0,0,0,24,38.0,0.0
23,2.0,197387,3,2.0,13.0,2.0,4.0,1.0,0,0,40,25.0,0.0
36,2.0,99374,10,0.0,2.0,1.0,4.0,1.0,0,0,40,38.0,0.0
40,0.0,56795,14,4.0,3.0,1.0,4.0,0.0,14084,0,55,38.0,1.0
35,2.0,138992,14,2.0,9.0,2.0,4.0,1.0,7298,0,40,38.0,1.0
24,4.0,32921,9,4.0,11.0,1.0,4.0,1.0,0,0,40,38.0,0.0
26,2.0,397317,14,4.0,9.0,1.0,4.0,0.0,0,1876,40,38.0,0.0
51,2.0,259323,13,2.0,3.0,0.0,4.0,1.0,0,0,50,38.0,1.0
42,1.0,254817,10,4.0,9.0,1.0,4.0,0.0,0,1340,40,38.0,0.0
37,5.0,48211,9,0.0,0.0,4.0,4.0,0.0,0,0,35,38.0,0.0
18,2.0,140164,7,4.0,11.0,3.0,4.0,0.0,0,0,40,38.0,0.0
36,2.0,128757,13,2.0,7.0,0.0,2.0,1.0,7298,0,36,38.0,1.0
35,2.0,36270,9,0.0,2.0,1.0,4.0,1.0,0,0,60,38.0,0.0
58,3.0,210563,9,2.0,11.0,5.0,4.0,0.0,15024,0,35,38.0,1.0
17,2.0,65368,7,4.0,11.0,3.0,4.0,0.0,0,0,12,38.0,0.0
44,1.0,160943,9,2.0,13.0,0.0,2.0,1.0,0,0,40,38.0,0.0
37,2.0,208358,9,2.0,2.0,0.0,4.0,1.0,0,0,40,38.0,1.0
35,2.0,153790,10,4.0,11.0,1.0,0.0,0.0,0,0,40,38.0,0.0
60,2.0,85815,9,2.0,2.0,0.0,1.0,1.0,0,0,40,38.0,0.0
54,3.0,125417,4,2.0,6.0,0.0,4.0,1.0,0,0,40,38.0,1.0
37,2.0,635913,13,4.0,3.0,1.0,2.0,1.0,0,0,60,38.0,1.0
50,2.0,313321,12,0.0,11.0,1.0,4.0,0.0,0,0,40,38.0,0.0
38,2.0,182609,13,2.0,11.0,0.0,4.0,1.0,0,0,50,30.0,0.0
45,2.0,109434,13,2.0,9.0,0.0,4.0,1.0,0,0,55,38.0,0.0
25,2.0,255004,6,4.0,2.0,1.0,4.0,1.0,0,0,40,38.0,0.0
31,2.0,197860,10,2.0,5.0,0.0,4.0,1.0,0,0,40,38.0,0.0
90,2.0,51744,9,4.0,7.0,1.0,2.0,1.0,0,2206,40,38.0,0.0
54,2.0,176681,9,2.0,0.0,0.0,2.0,1.0,0,0,20,38.0,0.0
53,1.0,140359,1,4.0,6.0,1.0,4.0,0.0,0,0,35,38.0,0.0
18,2.0,243313,9,4.0,11.0,3.0,4.0,0.0,0,0,40,38.0,0.0
66,4.0,167687,9,2.0,4.0,0.0,4.0,1.0,1409,0,50,38.0,0.0
75,2.0,314209,11,6.0,0.0,1.0,4.0,0.0,0,0,20,3.0,0.0
65,2.0,176796,9,0.0,0.0,1.0,4.0,0.0,0,0,40,38.0,0.0
35,2.0,538583,7,5.0,13.0,1.0,2.0,1.0,3674,0,40,38.0,0.0
41,2.0,130408,9,0.0,11.0,4.0,2.0,0.0,0,0,38,38.0,0.0
25,2.0,159732,10,4.0,0.0,1.0,4.0,1.0,0,0,42,38.0,0.0
33,2.0,110978,10,0.0,2.0,2.0,3.0,0.0,0,0,40,38.0,0.0
28,2.0,76714,15,4.0,9.0,1.0,4.0,1.0,0,0,55,38.0,1.0
59,5.0,268700,9,2.0,7.0,0.0,4.0,1.0,0,0,40,38.0,0.0
40,5.0,170525,10,4.0,0.0,1.0,4.0,0.0,0,0,38,38.0,0.0
41,2.0,180138,13,2.0,3.0,0.0,4.0,1.0,0,0,50,19.0,1.0
38,1.0,115076,14,2.0,3.0,0.0,4.0,1.0,0,0,70,38.0,1.0
23,2.0,115458,9,4.0,13.0,3.0,4.0,1.0,0,0,40,38.0,0.0
40,2.0,347890,13,2.0,9.0,0.0,4.0,1.0,0,0,40,38.0,1.0
41,4.0,196001,9,2.0,7.0,5.0,4.0,0.0,0,0,20,38.0,0.0
24,5.0,273905,12,2.0,10.0,0.0,4.0,1.0,0,0,50,38.0,0.0
38,2.0,179488,10,0.0,2.0,1.0,4.0,1.0,0,1741,40,38.0,0.0
58,2.0,236596,9,2.0,0.0,0.0,4.0,1.0,0,0,45,38.0,1.0
32,2.0,183916,9,4.0,7.0,1.0,4.0,0.0,0,0,34,38.0,0.0
40,2.0,207578,12,2.0,12.0,0.0,4.0,1.0,0,1977,60,38.0,1.0
41,2.0,112763,15,2.0,9.0,5.0,4.0,0.0,0,0,40,38.0,1.0
42,2.0,390781,13,2.0,0.0,5.0,2.0,0.0,0,0,40,38.0,0.0
59,1.0,171328,6,6.0,7.0,4.0,2.0,0.0,0,0,30,38.0,0.0
19,1.0,27382,10,4.0,0.0,3.0,4.0,1.0,0,0,40,38.0,0.0
58,2.0,259014,10,4.0,13.0,1.0,4.0,1.0,0,0,20,38.0,0.0
42,4.0,303044,9,2.0,4.0,0.0,1.0,1.0,0,0,40,0.0,1.0
20,2.0,117789,9,4.0,7.0,3.0,4.0,0.0,0,0,40,38.0,0.0
32,2.0,172579,9,5.0,7.0,1.0,4.0,0.0,0,0,30,38.0,0.0
45,2.0,187666,11,6.0,3.0,1.0,4.0,0.0,0,0,45,38.0,0.0
50,2.0,204518,4,0.0,2.0,1.0,4.0,1.0,0,0,40,38.0,0.0
36,2.0,150042,13,0.0,9.0,3.0,4.0,0.0,0,0,40,38.0,0.0
45,2.0,98092,9,2.0,11.0,0.0,4.0,1.0,0,0,60,38.0,0.0
17,2.0,245918,7,4.0,7.0,3.0,4.0,1.0,0,0,12,38.0,0.0
59,2.0,146013,10,2.0,11.0,0.0,4.0,1.0,4064,0,40,38.0,0.0
26,2.0,378322,7,2.0,2.0,0.0,4.0,1.0,0,0,40,38.0,0.0
37,3.0,257295,10,2.0,3.0,0.0,1.0,1.0,0,0,75,36.0,1.0
64,2.0,21174,9,2.0,3.0,0.0,4.0,1.0,0,0,40,38.0,1.0
33,2.0,185480,13,4.0,9.0,1.0,4.0,0.0,0,0,45,38.0,0.0
33,2.0,222205,9,2.0,2.0,5.0,4.0,0.0,0,0,40,38.0,1.0
61,2.0,69867,9,2.0,3.0,0.0,4.0,1.0,0,0,40,38.0,1.0
17,2.0,191260,5,4.0,7.0,3.0,4.0,1.0,1055,0,24,38.0,0.0
50,4.0,30653,14,2.0,4.0,0.0,4.0,1.0,2407,0,98,38.0,0.0
27,1.0,209109,14,4.0,9.0,3.0,4.0,1.0,0,0,35,38.0,0.0
30,2.0,70377,9,0.0,9.0,3.0,4.0,0.0,0,0,40,38.0,0.0
43,2.0,477983,9,2.0,5.0,0.0,2.0,1.0,0,0,40,38.0,0.0
44,2.0,170924,10,2.0,2.0,0.0,4.0,1.0,7298,0,40,38.0,1.0
35,2.0,190174,10,4.0,3.0,1.0,4.0,0.0,0,0,40,38.0,0.0
25,2.0,193787,10,4.0,12.0,3.0,4.0,0.0,0,0,40,38.0,0.0
24,2.0,279472,10,2.0,6.0,5.0,4.0,0.0,7298,0,48,38.0,1.0
22,2.0,34918,13,4.0,9.0,1.0,4.0,0.0,0,0,15,10.0,0.0
42,1.0,97688,10,2.0,2.0,0.0,4.0,1.0,5178,0,40,38.0,1.0
34,2.0,175413,12,0.0,11.0,4.0,2.0,0.0,0,0,45,38.0,0.0
60,2.0,173960,13,0.0,9.0,1.0,4.0,0.0,0,0,42,38.0,0.0
21,2.0,205759,9,4.0,5.0,3.0,4.0,1.0,0,0,40,38.0,0.0
57,0.0,425161,14,2.0,11.0,0.0,4.0,1.0,15024,0,40,38.0,1.0
41,2.0,220531,15,2.0,9.0,0.0,4.0,1.0,0,0,60,38.0,1.0
50,2.0,176609,10,0.0,7.0,1.0,4.0,1.0,0,0,45,38.0,0.0
25,2.0,371987,13,4.0,3.0,1.0,4.0,0.0,0,0,40,38.0,0.0
50,2.0,193884,4,2.0,2.0,0.0,4.0,1.0,0,0,40,6.0,0.0
36,2.0,200352,13,2.0,9.0,0.0,4.0,1.0,0,0,45,38.0,0.0
31,2.0,127595,9,0.0,9.0,1.0,4.0,0.0,0,0,40,38.0,0.0
29,1.0,220419,13,4.0,10.0,1.0,4.0,1.0,0,0,56,38.0,0.0
21,2.0,231931,10,4.0,11.0,3.0,4.0,1.0,0,0,45,38.0,0.0
27,2.0,248402,13,4.0,12.0,4.0,2.0,0.0,0,0,40,38.0,0.0
65,2.0,111095,9,2.0,13.0,0.0,4.0,1.0,0,0,16,38.0,0.0
37,3.0,57424,13,0.0,11.0,1.0,4.0,0.0,0,0,60,38.0,0.0
24,2.0,278130,9,4.0,2.0,3.0,4.0,1.0,0,0,40,38.0,0.0
38,2.0,169469,9,0.0,11.0,1.0,4.0,1.0,0,0,80,38.0,0.0
48,2.0,146268,13,2.0,0.0,0.0,4.0,1.0,7688,0,40,38.0,1.0
21,2.0,153718,10,4.0,7.0,1.0,1.0,0.0,0,0,25,38.0,0.0
31,2.0,217460,9,2.0,13.0,0.0,4.0,1.0,0,0,45,38.0,1.0
55,2.0,238638,9,2.0,11.0,0.0,4.0,1.0,4386,0,40,38.0,1.0
24,2.0,303296,10,2.0,0.0,5.0,1.0,0.0,0,0,40,24.0,0.0
43,2.0,173321,9,0.0,0.0,1.0,4.0,0.0,0,0,40,38.0,0.0
26,2.0,193945,12,4.0,12.0,1.0,4.0,1.0,0,0,45,38.0,0.0
46,2.0,83082,12,4.0,9.0,1.0,4.0,0.0,0,0,33,38.0,0.0
35,2.0,193815,12,2.0,0.0,0.0,4.0,1.0,0,0,40,38.0,1.0
41,3.0,34987,10,2.0,4.0,0.0,4.0,1.0,0,0,54,38.0,1.0
26,2.0,59306,13,4.0,11.0,1.0,4.0,1.0,0,0,40,38.0,0.0
34,2.0,142897,14,2.0,3.0,0.0,1.0,1.0,7298,0,35,35.0,1.0
36,4.0,205607,13,0.0,9.0,1.0,2.0,0.0,0,0,40,38.0,1.0
22,2.0,199698,10,4.0,11.0,3.0,4.0,1.0,0,0,15,38.0,0.0
24,2.0,191954,10,4.0,6.0,1.0,4.0,1.0,0,0,40,38.0,0.0
77,4.0,138714,10,2.0,11.0,0.0,4.0,1.0,0,0,40,38.0,0.0
22,2.0,399087,3,2.0,6.0,2.0,4.0,0.0,0,0,40,25.0,0.0
29,2.0,423158,10,4.0,12.0,1.0,4.0,0.0,0,0,40,38.0,0.0
62,2.0,159841,9,6.0,7.0,1.0,4.0,0.0,0,0,24,38.0,0.0
39,4.0,174308,9,2.0,3.0,0.0,4.0,1.0,0,0,40,38.0,0.0
43,2.0,50356,10,2.0,2.0,0.0,4.0,1.0,0,1485,50,38.0,0.0
35,2.0,186110,9,0.0,13.0,1.0,4.0,1.0,0,0,45,38.0,0.0
29,2.0,200381,7,4.0,3.0,1.0,4.0,0.0,0,0,40,38.0,0.0
76,4.0,174309,14,2.0,2.0,0.0,4.0,1.0,0,0,10,38.0,0.0
63,4.0,78383,9,2.0,4.0,0.0,4.0,1.0,0,0,45,38.0,0.0
43,2.0,187728,10,2.0,9.0,5.0,4.0,0.0,0,1887,50,38.0,1.0
58,4.0,321171,9,2.0,5.0,0.0,4.0,1.0,0,0,40,38.0,0.0
66,2.0,127921,9,4.0,13.0,1.0,4.0,1.0,2050,0,55,38.0,0.0
41,2.0,206565,10,4.0,2.0,1.0,2.0,1.0,0,0,45,38.0,0.0
